latitude,longitude,elevation,tann
44.917,-120.717,846,9.6
45.717,-120.200,96,12.5
42.217,-122.717,543,11.1
46.150,-123.883,2,10.3
44.833,-117.817,1027,7.6
44.783,-117.833,1050,8.4
43.117,-124.383,24,10.8
44.067,-121.317,1097,7.7
43.917,-118.167,999,9.5
45.633,-121.950,18,11.2
42.050,-124.283,24,11.8
43.583,-119.050,1262,8.1
42.833,-124.567,64,10.2
43.233,-121.783,1451,5.6
45.417,-123.250,238,10.3
46.100,-123.283,28,10.5
45.217,-123.900,6,10.9
45.233,-120.183,863,8.7
44.633,-123.200,69,11.0
43.783,-123.067,198,11.1
43.717,-123.050,253,10.9
42.900,-122.133,1974,3.2
44.933,-123.317,99,11.1
43.783,-122.967,250,10.7
43.667,-123.317,89,11.7
45.450,-121.133,405,9.6
45.567,-117.917,809,8.7
43.600,-123.583,35,12.4
45.433,-117.267,1155,6.3
45.267,-122.317,125,10.9
44.117,-123.217,109,11.4
44.117,-123.300,118,11.2
45.533,-123.100,55,11.4
45.000,-120.217,808,8.7
42.400,-124.417,15,11.6
42.433,-123.317,282,12.6
44.517,-120.933,1109,7.5
44.883,-117.117,814,7.9
42.550,-119.650,1712,6.5
45.450,-122.150,228,10.7
45.350,-119.550,594,10.3
45.817,-119.283,190,11.4
45.683,-121.517,152,10.2
44.350,-117.267,646,11.7
45.200,-120.700,825,8.9
42.200,-121.783,1249,8.8
45.317,-118.083,840,9.8
42.183,-120.350,1455,8.0
44.100,-122.683,206,11.4
44.633,-121.133,680,9.2
43.983,-117.017,683,10.5
43.283,-118.833,1252,8.1
45.233,-123.183,45,11.1
42.367,-122.867,400,12.0
44.583,-121.183,762,8.5
45.467,-120.350,472,10.9
45.967,-118.433,256,12.1
45.483,-120.717,569,9.3
44.633,-124.050,47,10.2
43.417,-124.250,2,11.2
43.867,-117.000,666,10.6
44.400,-120.433,1212,6.0
44.050,-116.967,654,11.0
45.350,-122.600,51,12.2
45.033,-123.933,46,10.3
43.650,-117.250,732,11.1
42.700,-120.533,1329,9.0
45.683,-118.850,452,11.4
45.483,-118.817,517,10.5
45.600,-122.600,6,11.7
42.883,-124.067,70,11.8
44.350,-120.900,866,8.4
42.733,-122.517,757,10.3
44.267,-121.217,917,8.7
44.267,-121.150,937,8.4
43.700,-124.117,18,11.2
44.767,-117.167,675,10.8
42.967,-123.350,202,12.2
43.200,-123.350,142,12.1
42.333,-120.883,1490,6.7
44.917,-123.017,60,11.1
45.983,-123.917,3,10.9
44.150,-118.967,1422,4.4
42.617,-123.367,1169,8.8
44.867,-122.650,411,9.5
43.483,-119.683,1425,7.6
44.800,-122.767,142,11.3
45.117,-122.067,341,9.8
45.450,-123.867,3,10.2
45.217,-117.883,843,8.8
43.983,-117.250,683,10.7
43.683,-121.683,1328,6.4
